Query	Closest-1	Closest-2	Closest-3
Is Hillary Clinton a habitual liar?	Is Hillary Clinton a habitual liar?	Does Hillary have Parkinson disease?	Does Hillary have Parkinson disease?
Why are people self centered?	Why are people now so self centered?	Why are people self centered?	Which are the universities considered public ivies and why?
How does a single cylinder 4 stroke engine work?	In statistics, what is a type 1 and type 2 error?	How do you program a Transmitter Remote to a phillips tv?	Who are AWS' major competitors, by market?
How much sleep is too little, too much, and just the right amount?	How much sleep is too little, too much, and just the right amount?	How much sleep is too little, too much, and just the right amount?	How do I start exploring the Deep Web?
Who is the stupidest character in Game of Thrones?	Who is the stupidest character in Game of Thrones?	How can tea bags help for styes?	Why did I change from optimist to pessimist?
What are some of the best New Years resolutions for 2017?	What are some of the best New Years resolutions for 2017?	What is/are your New Year resolutions for 2017?	What is/are your New Year resolutions for 2017?
How do I mirror my PC screen to a Samsung Smart TV wirelessly?	How do I mirror my PC screen to a Samsung Smart TV wirelessly?	How do I mirror my PC screen to a Samsung Smart TV wirelessly?	How do I mirror my PC screen to a Samsung Smart TV wirelessly?
What are the most common CFD (Computational Fluid Dynamics) software packages used in industry?	How hard is CFA level 1, given you are a economic graduate from DU?	How good is Cricket Wireless / Leap Wireless coverage in New York City?	I want the guy I like to hate me. I feel undeserving of someone liking me because I'm unintelligent and worldly. What should I do?
What is the price per kilogram of electrum? As of 10/09/2016.	What is your JEE Advanced 2016 marks and rank?	What was the biggest surprise win at the 2016 Emmy's?	Is it possible to lose 10 kgs in 20 days?
How can I lose weight loss?	How can I lose weight loss?	How can I lose weight loss?	How can I lose weight loss?
What are some tips on making it through the job interview process at Southern Company?	What are some tips on making it through the job interview process at Southern Company?	What are some tips on making it through the job interview process at Spark Therapeutics?	What are some tips on making it through the job interview process at Spark Therapeutics?
Have you had huge dreams as a kid only to now be old and not have fulfilled any of these dreams? How does it feel?	Anyone unable to find work long-term after doing one of the "top coding bootcamps"?	How can you avoid feeling scared and paranoid of meeting new people when going to college?	What are the best fun community building games/ activities on Friday evenings for a Co-Working Space? TG: Age 23-35
What are some best resume?	What do you struggle with most in your life?	What do you struggle with most in your life?	How can I put some weight?
What does traditional Lebanese clothing look like?	Why don't you allow people from commenting on your answers?	What are some good Android app project ideas?	What are some good Android app project ideas?
What are the biggest human resources challenges in China?	Is it "I miss you so bad" or "I miss you so badly"?	Is it "I miss you so bad" or "I miss you so badly"?	Should I play badminton even if I have back pain problems?
Could anyone suggest me some TV series like silicon Valley?	How would I make my bedroom about volunteering I volunteer at Meals on Wheels?	What is the best way to manage a large collection of bookmarks (with duplicates) across multiple browsers?	What is a good mobile automation testing tool which is freely available?
My boss wants to give individual award, based on team vote along-with their remarks. The results should go to my boss. How can I create such poll?	What are the laws governing the audio recording of background noise in public spaces which might include private conversations?	What are the laws governing the audio recording of background noise in public spaces which might include private conversations?	Scala vs Go - Could people help compare/contrast these on relative merits/demerits?
